id;number;location;description;revision_drawing;status;closed_date;type_id;punch_list_id;priority_id;author_id;line_id
18;50;;Опору поз.4 (направляющая опора 159-КП-АС21) на уч.1 смонтировать согласно проекту. По факту обычная.;1;VOID;;1;1;2;7;18
19;14;;Все опоры на уч.1 приварить к трубопроводу согласно ТУ к проекту.;1;READY_FOR_REVIEW;;1;1;2;7;19
20;45;;Состыковать трубопровод с блоком 033 (отметка по оси Y 137000);3;NOT_ACCEPTED;;1;2;1;8;20
21;6;;Опору поз.3 (направляющая опора 159-КП-АС21) на уч.1 смонтировать согласно проекту. По факту обычная.;0;INITIATED;;8;2;1;8;21
22;50;;"Все опоры на уч.1,2,4 приварить к трубопроводу согласно ТУ к проекту.";0;NOT_ACCEPTED;;3;2;1;8;22
23;22;;Опору поз.4 (направляющая опора 159-КП-АС21) на уч.5 смонтировать согласно проекту. По факту обычная.;1;UNDER_REVIEW;2022-04-13 22:30:17;1;2;1;8;23
24;10;;Обеспечить прилегание опоры поз.5 (неподвижная опора 159-КП-АС21) на уч.5 по всей площади опорной поверхности. ;3;VOID;2022-04-14 22:30:17;6;2;3;8;24
25;21;;Опору поз.5 (неподвижная опора 159-КП-АС21) на уч.5 смонтировать согласно проекту. Не приварена.;0;CLOSED;2022-04-15 22:30:17;8;2;2;8;28
26;60;;Опору поз.3 (159-КП-АС21) на уч.5 смонтировать согласно проекту (ближняя к уч.6). Приварен уголок.;4;CLOSED;2022-04-16 22:30:17;2;2;3;8;28
27;37;;Состыковать трубопровод с блоком 010.;0;CLOSED;2022-04-17 22:30:17;3;2;4;8;28
28;37;;Все опоры на уч.5 приварить к трубопроводу согласно ТУ к проекту.;5;CLOSED;2022-04-18 22:30:17;6;2;2;8;28
29;18;;Выставить в проектное положение опору поз.2 (159-КП-АС21) на уч.1 (1-ая по направлению оси Y);3;READY_FOR_REVIEW;;1;2;2;8;29
30;22;;Предъявить правильность монтажа опоры поз.3 (неподвижная опора 159-КП-АС21) на уч.1.;2;NOT_ACCEPTED;;5;2;3;8;30
31;37;;Опору поз.4 (направляющая опора 159-КП-АС21) на уч.1 смонтировать согласно проекту. По факту обычная.;3;INITIATED;;8;2;3;8;31
32;38;;Предъявить подвижность опоры поз.2 (159-КП-АС21) на уч.1 (5-ая по направлению оси Y).;1;UNDER_REVIEW;;5;2;1;8;32
33;17;;Все опоры на уч.1 приварить к трубопроводу согласно ТУ к проекту.;1;UNDER_REVIEW;;3;2;1;8;33
34;10;;Состыковать трубопровод с блоком 033 (отметка по оси Y 137000);0;VOID;;5;2;3;8;34
35;59;;Выставить в проектное положение опору поз.2 (89-КП-АС21) на уч.1 (4-ая по направлению оси Y);1;READY_FOR_REVIEW;;5;2;4;8;36
36;32;;Опору поз.2 (89-КП-АС21) на уч.1 (4-ая по направлению оси Y) приварить к трубопроводу согласно ТУ к проекту.;2;CLOSED;2022-04-26 22:30:17;2;2;3;8;36
37;37;;Состыковать трубопровод с блоком 033 (отметка по оси Y 137000);2;CLOSED;2022-04-27 22:30:17;6;2;2;8;37
38;4;;Выполнить врезку DN80х25 в линию HTW-1471 на уч.2;0;CLOSED;2022-04-28 22:30:17;5;2;4;8;38
39;56;;Состыковать трубопровод с блоком 033 (отметка по оси Y 137000);1;CLOSED;2022-04-29 22:30:17;1;2;1;8;39
40;32;;Выполнить врезку DN80х25 в линию HTW-1472 на уч.2;4;CLOSED;2022-04-30 22:30:17;5;2;4;8;40
41;46;;Опору поз.4 (направляющая опора 89-КП-АС21) на уч.1 смонтировать согласно проекту. Зазоры между опорой и направляющими <3мм.;4;CLOSED;2022-05-01 22:30:17;2;2;1;8;41
42;13;;Состыковать трубопровод с блоком 033 (отметка по оси Y 137000);5;CLOSED;2022-05-02 22:30:17;7;2;2;8;42
43;22;;Опору поз.4 (неподвижная опора 89-КП-АС21) на уч.2 приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту.;4;CLOSED;2022-05-03 22:30:17;5;2;2;8;43
44;41;;Предъявить подвижность опоры поз.2 (89-КП-АС21) на уч.3 (3-я по направлению оси Y).;4;CLOSED;2022-05-04 22:30:17;1;2;1;8;44
45;17;;"Состыковать трубопровод с линиями LC-1411, LC-1414.";2;CLOSED;2022-05-05 22:30:17;5;2;1;8;45
46;10;;Закончить монтаж линии (нет всех опор).;1;CLOSED;2022-05-06 22:30:17;4;2;1;8;46
47;37;;Смонтировать линию;5;CLOSED;2022-05-07 22:30:17;5;2;3;8;47
48;8;;Развернуть задвижку поз.6 на уч.1 в проектное положение;4;CLOSED;2022-05-08 22:30:17;1;2;4;8;48
49;16;;Демонтировать временную опору на уч.2;3;CLOSED;2022-05-09 22:30:17;1;2;2;8;52
50;43;;"Смонтировать опоры поз.9 (ЛО-50-700), поз.10 (57КП-АС11); крепление U-образное поз.8 на уч.16";0;CLOSED;2022-05-10 22:30:17;6;2;1;8;52
51;17;;"Трубопровод на уч.16 смонтирован с непроектным уклоном (отклонение от вертикали более 2 мм на метр длины трубопровода, в нарушение ТКП 45-3.05-167-2009 п.8.3.30)";0;CLOSED;2022-05-11 22:30:17;1;2;3;8;52
52;22;;Смонтировать проектную опору поз.10 (57-КП-АС11) на уч.17;2;CLOSED;2022-05-12 22:30:17;1;2;4;8;52
53;45;;Опору поз.4 (направляющая опора 89-КП-АС21) на уч.6 смонтировать согласно проекту (1-ая по направлению оси Y). По факту обычная.;3;CLOSED;2022-05-13 22:30:17;3;2;1;8;53
54;6;;Опору поз.3 (опора 89-КП-АС21) на уч.6 смонтировать согласно проекту (2-ая по направлению оси Y). По факту направляющая.;1;CLOSED;2022-05-14 22:30:17;3;2;1;8;54
55;48;;Опору поз.5 (неподвижная опора 89-КП-АС21) на уч.6 приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту.;3;CLOSED;2022-05-15 22:30:17;5;2;2;8;55
56;34;;Опору поз.3 (опора 89-КП-АС21) на уч.10 (1-ая по направлению оси Y) приварить к трубопроводу согласно ТУ к проекту.;1;CLOSED;2022-05-16 22:30:17;8;2;1;8;56
57;27;;Опору поз.5 (неподвижная опора 89-КП-АС21) на уч.10 приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту.;2;CLOSED;2022-05-17 22:30:17;1;2;3;8;57
58;48;;Состыковать трубопровод с блоком 012.;3;CLOSED;2022-05-18 22:30:17;3;2;2;8;58
59;49;;"Смонтировать опоры поз.6 (ЛО-50-700), поз.4 (57КП-АС11); крепление U-образное поз.5 на уч.2.";0;CLOSED;2022-05-19 22:30:17;3;2;1;8;59
60;24;;Устранить зазор между опорой поз.4 (57-КП-АС11) и подопорной конструкцией на уч.1. Подкладную пластину приварить к подопорной конструкции.;3;CLOSED;2022-05-20 22:30:17;5;2;3;8;60
61;21;;Опору поз.3 (опора 89-КП-АС21) на уч.1 смонтировать согласно проекту (1-ая по направлению оси Y). По факту направляющая.;3;CLOSED;2022-05-21 22:30:17;2;2;1;8;62
62;7;;Дефектная опора поз.3 (89-КП-АС21) на уч.1 (3-я по направлению оси Y). Заменить.;1;CLOSED;2022-05-22 22:30:17;5;2;3;8;62
63;16;;Опору поз.4 (неподвижная опора 89-КП-АС21) на уч.1 приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту.;3;CLOSED;2022-05-23 22:30:17;1;2;1;8;63
64;33;;Состыковать трубопровод с блоком 012.;0;CLOSED;2022-05-24 22:30:17;2;2;1;8;64
65;23;;Состыковать трубопровод с блоком 010.;3;CLOSED;2022-05-25 22:30:17;1;2;4;8;65
66;37;;Обеспечить прилегание опоры поз.6 (89-КП-АС11) на уч.7 по всей площади опорной поверхности. ;2;NOT_ACCEPTED;;2;2;1;8;66
67;22;;Состыковать трубопровод с блоком 011.;4;INITIATED;;2;2;3;8;67
68;4;;Обеспечить прилегание опоры поз.4 (направляющая опора 159-КП-АС21) на уч.7 (4-ая по направлению оси Y) по всей площади опорной поверхности. ;2;VOID;;5;2;1;8;68
69;27;;Опору поз.5 (неподвижная опора 159-КП-АС21) на уч.6 приварить к трубопроводу согласно ТУ к проекту.;0;UNDER_REVIEW;;6;2;3;8;69
70;22;;Состыковать трубопровод с блоком 011.;1;VOID;;1;2;1;8;55
71;13;;Состыковать трубопровод с блоком 010.;3;READY_FOR_REVIEW;;4;2;2;8;55
72;48;;Состыковать трубопровод с блоком 011.;4;NOT_ACCEPTED;;5;2;3;8;55
73;15;;Состыковать трубопровод с блоком 010.;0;INITIATED;;3;2;2;8;55
74;1;;Опору поз.6 (32-ХБ-А) на уч.5 смонтировать согласно ОСТ 36-146-88 (большие отверстия в уголке).;2;INITIATED;;5;2;2;8;55
75;22;;"Смонтировать опору поз.5 (32-ТП-АС10), крепление Г-образное поз.7 на уч.7.";2;UNDER_REVIEW;;3;2;1;8;55
76;27;;Состыковать трубопровод с блоком 010.;1;VOID;;2;2;2;8;55
77;48;;Состыковать трубопровод с блоком 011.;3;READY_FOR_REVIEW;;1;2;3;8;55
78;21;;Состыковать трубопровод с блоком 012.;2;NOT_ACCEPTED;;6;2;4;8;55
79;34;;Состыковать трубопровод с блоком 010.;4;INITIATED;;3;2;1;8;55
80;21;;Состыковать трубопровод с блоком 011.;3;INITIATED;;1;2;1;8;60
81;12;;Состыковать трубопровод с блоком 012.;0;UNDER_REVIEW;;8;2;1;8;60
82;5;;Срезать прихватки с опоры поз.7 (89-КП-АС21) на участке <2> (5-ая по направлению оси Y).;2;VOID;;5;2;2;8;60
83;54;;Срезать прихватки с опоры поз.4 (57-КП-АС11) на уч.1 ;1;READY_FOR_REVIEW;;3;3;3;8;60
84;18;;Опору поз.4 (57-КП-АС11) на уч.1 приварить к трубопроводу согласно ТУ к проекту.;2;NOT_ACCEPTED;;2;3;1;8;60
85;43;;Опору поз.6 (направляющая опора 57-КП-АС11) на уч.4 приварить к трубопроводу согласно ТУ к проекту.;4;INITIATED;;3;3;1;8;60
86;33;;Опору поз.4 (57-КП-АС11) на уч.5 приварить к трубопроводу согласно ТУ к проекту.;5;READY_FOR_REVIEW;;6;3;1;8;60
87;20;;Опору поз.4 (57-КП-АС11) на уч.7 приварить к трубопроводу согласно ТУ к проекту.;1;NOT_ACCEPTED;;7;3;2;4;72
88;21;;Опору поз.4 (57-КП-АС11) на уч.4 приварить к трубопроводу согласно ТУ к проекту.;3;INITIATED;;6;3;2;4;72
89;29;;"Все опоры на уч.6,7,10 приварить к трубопроводу согласно ТУ к проекту.";4;INITIATED;;5;3;4;4;72
90;47;;Выставить по центру подопорной конструкции опору поз.6 (направляющая опора 57-КП-АС11) на уч.7;2;UNDER_REVIEW;;4;3;3;4;72
91;37;;Опору поз.6 (направляющая опора 57-КП-АС11) на уч.7 смонтировать согласно проекту. Зазоры между опорой и направляющими <3мм.;4;VOID;;2;3;1;4;72
92;8;;Срезать прихватки с опоры поз.4 (57-КП-АС11) на уч.10.;0;READY_FOR_REVIEW;;3;3;1;4;72
93;4;;Состыковать трубопровод с блоком 012.;2;CLOSED;2022-06-22 22:30:17;7;3;4;4;72
94;55;;Состыковать трубопровод с блоком 012.;3;CLOSED;2022-06-23 22:30:17;5;3;1;4;72
95;23;;Опору поз.8 (усиленная опора 89-КХ-АС22) на уч.2 смонтировать согласно ОСТ 36-146-88. По факту обычная.;0;CLOSED;2022-06-24 22:30:17;5;3;2;4;76
96;21;;Срезать прихватки с опоры поз.5 (89-КХ-АС21) на уч.6.;0;CLOSED;2022-06-25 22:30:17;4;4;1;7;76
97;20;;Состыковать трубопровод с блоком 011.;3;CLOSED;2022-06-26 22:30:17;5;4;2;7;76
98;32;;"Предъявить подвижность опор поз.4 (89-КП-АС21) на уч.3,4. (Состыковать с блоком 10)";2;CLOSED;2022-06-27 22:30:17;6;4;1;7;76
99;6;;Опору поз.8 (усиленная опора 89-КХ-АС22) на уч.2 смонтировать согласно ОСТ 36-146-88. По факту обычная.;4;CLOSED;2022-06-28 22:30:17;3;4;4;7;76
100;13;;Срезать прихватки с опоры поз.5 (89-КХ-АС21) на уч.6.;1;CLOSED;2022-06-29 22:30:17;1;4;4;7;76
101;6;;Состыковать трубопровод с блоком 011.;4;CLOSED;2022-06-30 22:30:17;8;4;2;7;76
102;13;;Опору поз.7 (неподвижная опора 159-КХ-АС11) на уч.1 приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту.;1;CLOSED;2022-07-01 22:30:17;1;4;2;7;79
103;41;;Опору поз.5 (159-КХ-АС11) на уч.1 (3-я в направлении оси Y) выставить по центру подопорной конструкции.;0;CLOSED;2022-07-02 22:30:17;1;4;2;7;79
104;45;;"Все подвижные опоры на уч.1,3,4 предъявить на отсутствие прихваток";1;CLOSED;2022-07-03 22:30:17;6;4;2;7;79
105;18;;Состыковать трубопровод с блоком 012.;1;CLOSED;2022-07-04 22:30:17;6;4;4;7;79
106;22;;Согласно АН61 опору поз.7 (неподвижная опора 89-КП-АС21) приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту.;5;CLOSED;2022-07-05 22:30:17;2;4;1;7;79
107;32;;Согласно АН61 опору поз.4 на уч.19 (ближняя к уч.20) сделать подвижной. Смонтировать опору поз.4 и подопорную конструкцию поз.6 на уч.21. Опору поз.5 (л.5/5) (неподвижная опора 89-КП-АС21) приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту. ;3;CLOSED;2022-07-06 22:30:17;6;4;4;7;79
108;10;;Все подвижные опоры предъявить на отсутствие прихваток;2;CLOSED;2022-07-07 22:30:17;1;4;1;7;79
109;27;;Состыковать трубопровод с блоком 012.;1;CLOSED;2022-07-08 22:30:17;3;4;1;7;79
110;42;;Опору поз.6 (159-КП-АС21) на уч.7 приварить к трубопроводу согласно ТУ к проекту.;2;NOT_ACCEPTED;;6;4;2;7;79
111;52;;"Опору поз.5 (159-КП-АС21) на уч.1,7 приварить к трубопроводу согласно ТУ к проекту.";4;INITIATED;;5;4;1;7;79
112;30;;Демонтировать временное крепление трубопровода на уч.4.;1;INITIATED;;1;4;3;7;79
113;2;;"Сварку между опорой поз.10 (219-КП-АС21) на уч.13 (ближняя к бл.009) и подкладной пластиной срезать, подкладную пластину приварить к подопорной конструкции.";3;UNDER_REVIEW;;5;4;2;7;79
114;8;;Все подвижные опоры предъявить на отсутствие прихваток.;3;CLOSED;2022-07-13 22:30:17;6;4;4;7;79
115;58;;Предъявить на соответсвие проекту правильность монтажа неподвижных опор 273-КП-АС22 (3шт.).;2;CLOSED;2022-07-14 22:30:17;3;4;2;7;79
116;22;;Состыковать трубопровод с блоком 012.;5;CLOSED;2022-07-15 22:30:17;1;4;1;7;79
117;6;Блок 002;Смонтировать проектную опору поз.3 (219-КП-АС21) на уч.3 (ближняя к уч.2);;CLOSED;2022-07-16 22:30:17;7;5;3;6;
118;28;Блок 003;Срезать прихватки с опоры поз.3 (219-КП-АС21) на уч.3 (ближняя к бл.008). Устранить зазор между опорой и подопорной конструкцией. Опору выставить по центру подопорной конструкции.;;CLOSED;2022-07-17 22:30:17;5;5;1;6;
119;13;Блок 004;Опору поз.3 (108-КП-АС21) на уч.4 приварить к трубопроводу согласно ТУ к проекту.;;CLOSED;2022-07-18 22:30:17;6;5;2;6;
120;23;;Состыковать трубопровод с блоком 010.;4;CLOSED;2022-07-19 22:30:17;7;5;1;6;60
121;2;;Состыковать трубопровод с блоком 011.;2;CLOSED;2022-07-20 22:30:17;2;5;2;6;62
122;20;;Демонтировать временные опоры (доски) на уч.2;0;CLOSED;2022-07-21 22:30:17;5;5;2;6;62
123;38;;Предъявить на соответсвие проекту правильность монтажа неподвижных опор 426-КП-АС22 (3шт.).;0;CLOSED;2022-07-22 22:30:17;1;5;3;6;63
124;44;;Все подвижные опоры предъявить на отсутствие прихваток.;3;CLOSED;2022-07-23 22:30:17;5;5;1;6;64
125;32;;Состыковать трубопровод с блоком 012.;1;CLOSED;2022-07-24 22:30:17;7;6;4;5;65
126;37;;Демонтировать временное крепление трубопровода на уч.3.;3;CLOSED;2022-07-25 22:30:17;1;6;2;5;66
127;37;;Состыковать трубопровод с блоком 012.;3;CLOSED;2022-07-26 22:30:17;5;6;2;5;77
128;13;;Срезать прихватки с опоры поз.4 (89-КП-АС21) на уч.6;4;CLOSED;2022-07-27 22:30:17;1;6;1;5;77
129;31;;Состыковать трубопровод с блоком 012.;2;CLOSED;2022-07-28 22:30:17;1;6;3;5;77
130;30;Блок 002;Состыковать трубопровод с блоком 012 (отметка по оси Х 90000).;;CLOSED;2022-07-29 22:30:17;3;6;2;5;
131;34;Блок 003;Состыковать трубопровод с блоком 012(отметка по оси Х 100000).;;CLOSED;2022-07-30 22:30:17;1;6;1;5;
132;27;Блок 004;Состыковать трубопровод с линией RO1-2020;;CLOSED;2022-07-31 22:30:17;5;6;2;5;
133;20;Блок 005;Предъявить на соответсвие проекту правильность монтажа неподвижных опор 108-КП-АС21 (3шт.).;;CLOSED;2022-08-01 22:30:17;5;6;3;5;
134;41;;Все подвижные опоры предъявить на отсутствие прихваток.;1;CLOSED;2022-08-02 22:30:17;5;6;4;5;64
135;7;;Состыковать трубопровод с блоком 012.;0;CLOSED;2022-08-03 22:30:17;5;6;4;5;64
136;33;;Состыковать трубопровод с линией RO1-3020;3;CLOSED;2022-08-04 22:30:17;5;7;3;6;64
137;32;;Предъявить на соответсвие проекту правильность монтажа неподвижных опор 108-КП-АС21 (3шт.).;0;CLOSED;2022-08-05 22:30:17;8;7;3;6;64
138;2;Блок 005;Все подвижные опоры предъявить на отсутствие прихваток.;;CLOSED;2022-08-06 22:30:17;4;7;3;6;
139;6;Блок 005;Дефектная опора поз.3 (108-КП-АС21) на уч.1 (ближняя к уч.10). Заменить.;;CLOSED;2022-08-07 22:30:17;5;8;4;6;
140;2;Блок 005;Состыковать трубопровод с блоком 012.;;CLOSED;2022-08-08 22:30:17;5;8;1;6;
141;60;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;CLOSED;2022-08-09 22:30:17;2;8;3;6;
142;28;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;CLOSED;2022-08-10 22:30:17;2;9;1;3;
143;17;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;CLOSED;2022-08-11 22:30:17;5;9;1;3;
144;8;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;VOID;;6;9;2;3;
145;48;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;READY_FOR_REVIEW;;7;9;2;3;
146;10;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;NOT_ACCEPTED;;2;9;2;3;
147;40;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;INITIATED;;5;9;3;3;
148;8;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;CLOSED;2022-08-16 22:30:17;1;9;3;3;
149;15;Блок 005;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;CLOSED;2022-08-17 22:30:17;3;9;3;3;
150;47;Блок 005;Опору поз.5 (159-КХ-АС11) на уч.1 (3-я в направлении оси Y) выставить по центру подопорной конструкции.;;UNDER_REVIEW;;1;9;3;3;
151;22;Блок 005;"Все подвижные опоры на уч.1,3,4 предъявить на отсутствие прихваток";;VOID;;4;9;4;3;
152;51;Блок 005;Состыковать трубопровод с блоком 012.;;READY_FOR_REVIEW;;2;10;3;3;
153;31;Блок 005;Согласно АН61 опору поз.7 (неподвижная опора 89-КП-АС21) приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту.;;NOT_ACCEPTED;;5;10;4;3;
154;38;Блок 005;Согласно АН61 опору поз.4 на уч.19 (ближняя к уч.20) сделать подвижной. Смонтировать опору поз.4 и подопорную конструкцию поз.6 на уч.21. Опору поз.5 (л.5/5) (неподвижная опора 89-КП-АС21) приварить к трубопроводу и подопорной конструкции согласно ТУ к проекту. ;;INITIATED;;1;10;3;3;
155;15;Блок 005;Все подвижные опоры предъявить на отсутствие прихваток;;UNDER_REVIEW;;3;10;2;3;
156;36;Блок 005;Состыковать трубопровод с блоком 012.;;VOID;;5;10;4;3;
157;50;Блок 005;Опору поз.6 (159-КП-АС21) на уч.7 приварить к трубопроводу согласно ТУ к проекту.;;READY_FOR_REVIEW;;7;10;1;3;
158;11;Блок 005;"Опору поз.5 (159-КП-АС21) на уч.1,7 приварить к трубопроводу согласно ТУ к проекту.";;NOT_ACCEPTED;;7;10;1;3;
159;2;Блок 005;Демонтировать временное крепление трубопровода на уч.4.;;INITIATED;;7;10;1;3;
160;28;Блок 005;"Сварку между опорой поз.10 (219-КП-АС21) на уч.13 (ближняя к бл.009) и подкладной пластиной срезать, подкладную пластину приварить к подопорной конструкции.";;UNDER_REVIEW;;1;10;1;3;
161;22;Блок 005;Все подвижные опоры предъявить на отсутствие прихваток.;;VOID;;1;10;3;3;
162;14;Блок 005;Предъявить на соответсвие проекту правильность монтажа неподвижных опор 273-КП-АС22 (3шт.).;;READY_FOR_REVIEW;;8;10;1;3;
163;44;Блок 005;Состыковать трубопровод с блоком 012.;;NOT_ACCEPTED;;1;10;1;3;
164;39;Блок 005;Смонтировать проектную опору поз.3 (219-КП-АС21) на уч.3 (ближняя к уч.2);;UNDER_REVIEW;;5;10;1;3;
165;21;Блок 005;Срезать прихватки с опоры поз.3 (219-КП-АС21) на уч.3 (ближняя к бл.008). Устранить зазор между опорой и подопорной конструкцией. Опору выставить по центру подопорной конструкции.;;VOID;;8;10;2;3;
166;23;Блок 005;Опору поз.3 (108-КП-АС21) на уч.4 приварить к трубопроводу согласно ТУ к проекту.;;READY_FOR_REVIEW;;2;10;1;3;
167;30;Блок 005;Состыковать трубопровод с блоком 010.;;NOT_ACCEPTED;;5;10;4;3;
168;22;Блок 005;Состыковать трубопровод с блоком 011.;;INITIATED;;1;10;4;3;
169;15;Блок 006;Демонтировать временные опоры (доски) на уч.2;;UNDER_REVIEW;;6;10;2;3;
170;36;Блок 006;Предъявить на соответсвие проекту правильность монтажа неподвижных опор 426-КП-АС22 (3шт.).;;VOID;;5;10;4;3;
171;29;Блок 006;Все подвижные опоры предъявить на отсутствие прихваток.;;READY_FOR_REVIEW;;5;10;3;3;
172;37;Блок 006;Состыковать трубопровод с блоком 012.;;NOT_ACCEPTED;;3;10;1;3;
173;31;Блок 006;Демонтировать временное крепление трубопровода на уч.3.;;INITIATED;;5;10;3;3;
174;1;Блок 006;Состыковать трубопровод с блоком 012.;;UNDER_REVIEW;;5;10;1;3;
175;38;Блок 006;Срезать прихватки с опоры поз.4 (89-КП-АС21) на уч.6;;VOID;;6;10;1;3;
176;31;Блок 006;Состыковать трубопровод с блоком 012.;;READY_FOR_REVIEW;;3;10;1;3;
177;38;Блок 006;Состыковать трубопровод с блоком 012 (отметка по оси Х 90000).;;NOT_ACCEPTED;;8;10;3;3;
178;50;Блок 006;Состыковать трубопровод с блоком 012(отметка по оси Х 100000).;;INITIATED;;7;10;1;3;
179;44;Блок 006;Состыковать трубопровод с линией RO1-2020;;UNDER_REVIEW;;2;10;2;3;
180;18;Блок 006;Предъявить на соответсвие проекту правильность монтажа неподвижных опор 108-КП-АС21 (3шт.).;;VOID;;5;10;1;3;
181;17;Блок 006;Все подвижные опоры предъявить на отсутствие прихваток.;;READY_FOR_REVIEW;;4;10;3;3;
182;31;Блок 006;Состыковать трубопровод с блоком 012.;;NOT_ACCEPTED;;2;10;2;3;
183;38;Блок 006;Состыковать трубопровод с линией RO1-3020;;UNDER_REVIEW;;3;10;4;3;
184;54;Блок 006;Предъявить на соответсвие проекту правильность монтажа неподвижных опор 108-КП-АС21 (3шт.).;;VOID;;5;10;3;3;
185;32;Блок 006;Все подвижные опоры предъявить на отсутствие прихваток.;;READY_FOR_REVIEW;;6;10;3;3;
186;23;Блок 006;Дефектная опора поз.3 (108-КП-АС21) на уч.1 (ближняя к уч.10). Заменить.;;NOT_ACCEPTED;;1;10;3;3;
187;50;Блок 006;Состыковать трубопровод с блоком 012.;;INITIATED;;3;10;1;3;
188;18;Блок 006;"Опору поз.4 (57-ХБ-А) на уч.3 смонтировать согласно ОСТ 36-146-88 (не хватает гаек с одной стороны, зачистить от окалины уголок в месте крепления).";;UNDER_REVIEW;;4;10;3;3;
